City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
104,Esperance,AU,-33.8667,121.9,67.41,68,9,19.6,clear sky
105,Wick,GB,58.4333,-3.0833,44.65,65,40,10.36,scattered clouds
106,Khatanga,RU,71.9667,102.5,-10.07,93,100,3.04,overcast clouds
107,Aranos,NA,-24.1333,19.1167,94.14,11,2,8.59,clear sky
108,Tiznit,MA,29.5833,-9.5,61.97,56,0,8.46,clear sky
109,Burley,US,42.5357,-113.7928,23.31,69,0,12.66,clear sky
110,Safonovo,RU,55.15,33.2167,31.33,89,100,10.69,overcast clouds
111,San Jose,US,37.3394,-121.895,44.58,68,0,3.0,clear sky
112,Pleasant Grove,US,40.3641,-111.7385,30.0,86,100,5.75,overcast clouds
113,Ornskoldsvik,SE,63.2909,18.7153,41.95,56,75,23.02,broken clouds
114,Lucapa,AO,-8.4192,20.7447,83.64,46,18,3.87,few clouds
115,Vanimo,PG,-2.6741,141.3028,79.38,89,91,11.59,overcast clouds
116,Manado,ID,1.487,124.8455,74.17,94,40,2.3,scattered clouds
117,Pisco,PE,-13.7,-76.2167,73.45,78,22,2.3,smoke
118,Coihaique,CL,-45.5752,-72.0662,56.01,71,75,4.61,broken clouds
119,Verkhnevilyuysk,RU,63.4453,120.3167,-10.08,100,89,3.02,overcast clouds
120,The Valley,AI,18.217,-63.0578,78.94,65,20,12.66,few clouds
121,Kamenka,RU,51.3223,42.7678,27.03,90,100,11.3,overcast clouds
122,Bac Lieu,VN,9.285,105.7244,77.23,71,100,22.59,overcast clouds
123,Petatlan,MX,17.5167,-101.2667,67.8,84,6,4.05,clear sky
124,Grand-Lahou,CI,5.1367,-5.0242,85.46,70,93,8.95,overcast clouds
125,Cabo San Lucas,MX,22.8909,-109.9124,65.52,70,93,14.52,overcast clouds
126,Samarinda,ID,-0.5,117.15,74.1,94,100,2.33,overcast clouds
127,Hambantota,LK,6.1241,81.1185,82.74,78,75,6.91,broken clouds
128,Merauke,ID,-8.4667,140.3333,80.73,82,100,15.55,overcast clouds
129,Ahuimanu,US,21.4447,-157.8378,72.19,72,20,14.97,few clouds
130,Tura,IN,25.5198,90.2201,70.34,36,0,3.83,clear sky
131,Kahului,US,20.8947,-156.47,68.85,88,75,14.97,light rain
132,Aripuana,BR,-9.1667,-60.6333,80.13,80,100,1.54,overcast clouds
133,Krivosheino,RU,57.3431,83.9261,32.41,89,100,15.77,light snow
134,Vallenar,CL,-28.5708,-70.7581,69.67,65,0,4.32,clear sky
135,Isangel,VU,-19.55,169.2667,77.97,94,100,11.92,overcast clouds
